service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
IDFM:TN:49518727,0,1,0,0,0,0,0,20260317,20260324
IDFM:TN:49518786,0,0,0,0,0,1,0,20260314,20260321
IDFM:TN:49519218,1,0,1,1,1,0,0,20260302,20260313
IDFM:TN:49519225,0,1,0,0,0,0,0,20260303,20260310
IDFM:TN:49519525,1,1,1,1,1,0,0,20260225,20260313
IDFM:TN:49519621,1,1,1,1,1,0,0,20260225,20260324
IDFM:TN:49519644,0,0,0,0,0,0,1,20260301,20260322
IDFM:TN:49519646,1,1,1,1,1,0,0,20260225,20260324
IDFM:TN:49519648,0,0,1,1,0,0,0,20260225,20260319
IDFM:TN:49519649,0,0,0,0,0,1,1,20260228,20260322
IDFM:TN:49519650,1,1,0,0,1,0,0,20260227,20260324
IDFM:TN:49519651,1,1,1,1,1,0,0,20260225,20260322
IDFM:TN:49519652,1,1,0,1,1,0,0,20260225,20260324
IDFM:TN:49519653,1,1,1,1,1,0,0,20260225,20260323
IDFM:TN:49519654,0,0,0,0,0,1,0,20260228,20260321
IDFM:TN:49519659,1,1,0,0,1,0,0,20260227,20260323
IDFM:TN:49519677,1,1,1,1,1,0,0,20260225,20260322
IDFM:TN:49519678,0,1,0,0,0,0,0,20260228,20260324
IDFM:TN:49519680,1,0,1,1,1,0,0,20260225,20260323
IDFM:TN:49519682,1,1,1,1,1,0,0,20260225,20260324
IDFM:TN:49519696,0,0,0,0,0,0,1,20260228,20260322
IDFM:TN:49519726,0,1,0,0,0,0,0,20260324,20260324
IDFM:TN:49519797,1,1,1,1,1,0,0,20260225,20260323
IDFM:TN:49519801,1,0,1,1,1,0,0,20260225,20260323
IDFM:TN:49519802,1,0,1,1,1,0,0,20260225,20260323
IDFM:TN:49519806,1,0,1,1,1,0,0,20260225,20260323
IDFM:TN:49520024,0,0,0,0,0,1,1,20260228,20260322
IDFM:TN:49520033,1,1,1,1,1,1,1,20260225,20260324
IDFM:TN:49520035,1,1,1,1,1,0,0,20260225,20260324
IDFM:TN:49520041,1,1,1,1,1,1,1,20260225,20260324
IDFM:TN:49520084,0,0,0,0,0,0,1,20260301,20260322
IDFM:TN:49520099,0,0,0,0,0,1,0,20260228,20260321
IDFM:TN:49520217,0,0,0,0,0,1,1,20260307,20260315
IDFM:TN:49520231,0,0,0,0,0,1,0,20260307,20260315
IDFM:TN:49520233,0,0,0,0,0,1,0,20260307,20260314
IDFM:TN:49520242,0,0,0,0,0,0,1,20260308,20260315
IDFM:TN:49520333,0,0,0,0,0,1,0,20260228,20260321
IDFM:TN:49520374,1,0,0,0,0,0,0,20260323,20260323
IDFM:TN:49520393,1,0,0,0,0,0,0,20260302,20260302
IDFM:TN:49520502,1,1,1,1,1,0,0,20260225,20260324
IDFM:TN:49520539,1,1,1,1,1,0,0,20260225,20260324
